Date,Open,High,Low,Close,Adj Close,Volume
2006-04-19,37.575222,43.299576,37.291451,42.428692,39.802700,16051686
2006-04-20,42.761387,50.917362,41.587162,50.472137,47.348331,22610633
2006-04-21,51.763783,60.355202,51.499584,59.136944,55.476849,46886463
2006-04-24,59.396252,62.277996,56.661285,58.887421,55.242775,24737679
2006-04-25,58.417728,62.507950,58.417728,59.239689,55.573235,16138021
2006-04-26,59.494102,61.842556,58.985271,59.606632,55.917469,6415178
2006-04-27,60.550907,64.176331,60.179070,61.240765,57.450462,11335387
2006-04-28,58.711288,60.599834,55.873573,58.916775,55.270309,4929089
2006-05-02,60.350311,60.350311,56.949947,57.248398,53.705196,1904689
2006-05-03,57.928471,57.996967,54.053524,54.581924,51.203751,2057256
2006-05-04,55.482166,59.440285,53.720825,56.949947,53.425213,6698483
2006-05-05,57.243504,57.708302,54.307941,54.586819,51.208336,2087905
2006-05-08,54.963551,55.580017,52.938011,53.544693,50.230721,1527835
2006-05-09,53.916531,56.578110,53.525124,55.814861,52.360382,2360959
2006-05-10,56.206272,56.264984,54.454720,54.836342,51.442429,1183969
2006-05-11,55.090755,55.090755,52.840157,53.344097,50.042534,618003
2006-05-12,52.962475,55.751259,51.675716,52.218796,48.986877,1203652
2006-05-15,52.683594,53.432163,48.436810,48.950535,45.920902,1475838
2006-05-16,48.926071,49.880131,44.057926,45.090267,42.299545,1320410
2006-05-17,45.794804,49.601254,43.275112,49.341946,46.288078,4432319
2006-05-18,48.828220,48.828220,44.410194,44.415089,41.666161,1866274
2006-05-19,44.718430,46.969028,39.977493,40.373795,37.874989,1652779
2006-05-22,40.970692,40.970692,38.358040,38.358040,35.983990,303120
2006-05-23,37.183815,39.532265,36.440140,37.795391,35.456169,868023
2006-05-24,38.651596,39.434414,37.281666,37.717110,35.382729,698012
2006-05-25,36.694553,37.477371,35.833454,36.185722,33.946117,424885
2006-05-26,37.183815,37.995987,36.430351,37.893242,35.547962,533079
2006-05-29,38.162334,39.791573,38.162334,39.732864,37.273727,406633
2006-05-30,40.696709,41.719261,39.630119,41.719261,39.137180,329701
2006-05-31,41.097900,41.489307,39.635010,39.918781,37.448139,446234
2006-06-01,40.315083,41.557804,37.922600,37.922600,35.575504,352879
2006-06-02,38.162334,38.162334,36.029160,36.029160,33.799248,339563
2006-06-05,36.684769,36.694553,34.228680,34.228680,32.110203,289467
2006-06-06,32.809826,33.152306,32.521160,32.521160,30.508364,99854
2006-06-07,30.975096,31.557316,30.896814,30.896814,28.984556,207782
2006-06-08,29.355642,29.355642,29.355642,29.355642,27.538767,34695
2006-06-09,27.887861,29.991682,27.887861,27.887861,26.161833,510842
2006-06-12,26.909340,28.670677,25.451344,25.925924,24.321323,1084994
2006-06-13,25.441557,25.441557,24.629383,24.629383,23.105021,132955
2006-06-14,23.973776,25.441557,23.401340,23.401340,21.952990,336497
2006-06-15,24.247761,24.247761,22.232006,22.515778,21.122238,1106495
2006-06-16,23.288811,23.645969,22.505993,23.631292,22.168709,632474
2006-06-19,24.267332,24.815304,22.554918,24.815304,23.279444,309201
2006-06-20,25.050150,26.058025,25.001223,26.058025,24.445250,161038
2006-06-21,27.188217,27.364351,26.522823,27.364351,25.670727,127294
2006-06-22,28.734282,28.734282,28.734282,28.734282,26.955868,30178
2006-06-23,30.172709,30.172709,28.964235,30.172709,28.305264,956289
2006-06-26,32.878319,32.878319,30.040607,30.040607,28.181341,1017698
2006-06-27,28.866383,29.649200,28.538578,28.538578,26.772276,113129
2006-06-28,27.114828,28.098244,27.114828,27.114828,25.436644,137043
2006-06-29,26.493467,28.054211,25.984636,26.346689,24.716045,379909
2006-06-30,27.398600,27.628553,26.253731,27.090366,25.413692,485313
2006-07-03,27.496452,27.496452,26.723419,27.080582,25.404512,199924
2006-07-04,27.398600,27.398600,26.420078,26.596212,24.950125,114141
2006-07-05,25.539410,27.682371,25.539410,27.452419,25.753338,330069
2006-07-06,27.398600,27.398600,26.909340,27.031654,25.358612,165617
2006-07-07,27.985712,27.985712,26.757669,26.977837,25.308126,256540
2006-07-10,27.398600,27.447527,26.028669,26.410294,24.775715,159812
2006-07-11,26.791918,27.731298,26.791918,27.731298,26.014959,103901
2006-07-12,28.807671,29.120798,27.496452,29.120798,27.318460,744327
2006-07-13,30.573902,30.578794,29.360537,29.869368,28.020699,824897
2006-07-14,28.474974,29.243113,28.377123,28.377123,26.620811,267761
2006-07-17,27.574734,28.866383,27.007193,27.149076,25.468771,381299
2006-07-18,26.909340,28.372229,25.823181,26.038454,24.426889,143747
2006-07-19,26.909340,26.909340,24.781055,25.059935,23.508934,231420
2006-07-20,26.004208,26.004208,24.472820,24.800627,23.265671,135561
2006-07-21,24.658739,25.930819,24.419003,25.500269,23.922010,295946
2006-07-24,24.463036,26.224375,24.463036,25.779146,24.183630,135888
2006-07-25,25.539410,27.070795,25.539410,27.070795,25.395338,223561
2006-07-26,28.181417,28.426048,26.444542,28.426048,26.666706,212412
2006-07-27,29.277361,29.849796,29.257792,29.849796,28.002337,461727
2006-07-28,31.185478,31.185478,28.474974,29.008268,27.212894,860205
2006-07-31,30.334166,30.334166,28.279270,28.641321,26.868660,214272
2006-08-01,28.670677,29.257792,27.887861,28.474974,26.712606,220516
2006-08-02,28.377123,29.747051,27.985712,28.861490,27.075201,271205
2006-08-03,29.062086,29.453495,28.279270,28.778315,26.997173,102951
2006-08-04,28.866383,29.306717,27.887861,28.083565,26.345423,121346
2006-08-07,28.274378,28.572826,27.555164,28.034639,26.299526,82195
2006-08-08,28.377123,29.345858,27.897646,28.543470,26.776865,97402
2006-08-09,28.567932,29.972113,28.406477,29.972113,28.117086,763202
2006-08-10,31.116982,32.971279,30.236313,32.971279,30.930626,596481
2006-08-11,34.845146,36.092762,34.052547,34.703262,32.555416,1614854
2006-08-14,34.649445,36.009590,33.401829,35.339302,33.152092,1049246
2006-08-16,36.009590,36.185722,34.468418,34.796223,32.642616,357059
2006-08-17,35.138706,36.537991,33.127842,36.352074,34.102184,894288
2006-08-18,37.081070,38.172119,35.324623,37.213169,34.909973,1087201
2006-08-21,37.673077,37.819855,36.400997,37.095749,34.799820,295936
2006-08-22,37.467587,38.793484,37.379520,38.113411,35.754505,674834
2006-08-23,38.358040,38.455894,36.684769,37.692646,35.359779,549328
2006-08-24,37.281666,37.673077,36.596703,37.134888,34.836540,152740
2006-08-25,37.183815,38.064484,37.183815,37.355057,35.043083,234465
2006-08-28,37.663288,38.847301,37.257202,38.411858,36.034481,412755
2006-08-29,39.140858,40.109592,38.553745,38.925583,36.516403,520959
2006-08-30,39.238708,39.532265,37.770927,38.167229,35.804985,208978
2006-08-31,38.641811,38.641811,37.389305,38.108517,35.749912,248579
2006-09-01,37.673077,38.499928,37.673077,38.044914,35.690243,247322
2006-09-04,37.966633,38.832623,37.966633,38.504818,36.308464,185064
2006-09-05,37.966633,39.904102,37.966633,39.263172,37.023556,344744
2006-09-06,39.796467,40.104702,38.651596,39.625225,37.364956,228998
2006-09-07,39.238708,39.806252,38.162334,38.964725,36.742126,114070
2006-09-08,38.964725,39.620335,38.358040,38.915798,36.695995,109992
2006-09-11,38.651596,39.238708,36.988110,37.472481,35.335007,140579
2006-09-12,37.575222,37.966633,35.936199,36.748371,34.652195,94397
2006-09-13,37.467587,37.770927,36.821762,37.462692,35.325779,123574
2006-09-14,37.477371,38.465679,37.477371,38.132980,35.957829,103196
2006-09-15,37.379520,38.348255,37.183815,37.433338,35.298096,48910
2006-09-18,37.183815,38.989185,36.694553,37.834534,35.676403,53274
2006-09-19,37.477371,38.358040,36.694553,36.948971,34.841362,83769
2006-09-20,35.525223,37.281666,35.525223,36.968540,34.859806,21542
2006-09-21,37.516514,37.663288,35.877487,36.229755,34.163174,73028
2006-09-22,36.396107,36.694553,35.720924,36.048729,33.992462,83687
2006-09-25,36.704338,37.854103,34.346104,36.934292,34.827511,664880
2006-09-26,37.770927,38.617348,37.335487,37.413769,35.279644,382107
2006-09-27,37.673077,37.746464,36.694553,37.457802,35.321163,325153
2006-09-28,37.374626,38.358040,36.425461,37.643719,35.496475,123799
2006-09-29,38.260189,38.260189,37.208279,37.682861,35.533390,83534
2006-10-03,37.413769,37.766033,36.704338,37.041927,34.929012,51557
2006-10-04,37.673077,38.054699,35.627968,36.146584,34.084732,85731
2006-10-05,37.638828,37.638828,36.694553,36.865795,34.762924,49401
2006-10-06,37.359947,37.956848,36.699448,37.829639,35.671791,172811
2006-10-09,37.183815,39.723080,37.032143,39.483341,37.231159,396077
2006-10-10,40.119377,43.250648,40.119377,41.841576,39.454876,822833
2006-10-11,42.223202,43.818192,39.639904,40.212337,37.918575,494991
2006-10-12,40.872841,40.872841,38.891335,40.192768,37.900127,346308
2006-10-13,40.902195,42.076424,40.608639,41.127254,38.781307,351233
2006-10-16,41.978569,44.023682,41.107685,41.391457,39.030434,346318
2006-10-17,41.097900,41.562698,40.315083,40.613533,38.296886,144227
2006-10-18,40.319977,42.311268,40.319977,41.592052,39.219593,364805
2006-10-19,41.929646,41.929646,39.825825,41.176182,38.827438,186025
2006-10-20,40.129166,41.582268,40.129166,40.677135,38.356869,82134
2006-10-23,40.804344,42.898380,40.804344,41.719261,39.339542,255170
2006-10-26,41.782867,43.544205,41.259357,43.069622,40.612881,357038
2006-10-27,44.131317,44.131317,43.054943,43.372963,40.898911,301219
2006-10-30,43.544205,43.544205,41.401241,41.640980,39.265736,189428
2006-10-31,41.978569,42.037281,38.260189,39.356133,37.111210,248446
2006-11-01,40.598854,41.293606,39.732864,40.031311,37.747875,319645
2006-11-02,40.364010,41.587162,40.217232,40.848377,38.518341,651390
2006-11-03,40.510788,41.195751,39.923676,40.231911,37.937027,172566
2006-11-06,39.825825,41.097900,39.727970,40.383579,38.080048,233638
2006-11-07,41.000050,41.000050,39.566513,39.776897,37.507973,127253
2006-11-08,39.776897,40.608639,39.150642,39.439308,37.189640,106088
2006-11-09,39.145748,41.880718,39.145748,40.598854,38.283043,465641
2006-11-10,40.608639,42.516758,40.373795,41.088116,38.744404,682488
2006-11-13,40.804344,41.782867,40.784775,40.960907,38.624447,141550
2006-11-14,40.902195,41.293606,39.361027,39.723080,37.457233,123553
2006-11-15,40.217232,40.491219,39.140858,39.302315,37.060467,152127
2006-11-16,39.962814,40.608639,39.238708,39.336563,37.092754,108367
2006-11-17,39.825825,40.217232,38.172119,39.693722,37.429539,180639
2006-11-20,40.456970,41.435490,39.150642,39.556728,37.300362,649919
2006-11-21,40.510788,40.902195,39.238708,39.424629,37.175800,259278
2006-11-22,39.439308,40.403149,39.248493,39.370811,37.125053,194334
2006-11-23,39.444199,39.864964,38.749451,39.180000,36.945129,89124
2006-11-24,39.140858,43.098976,38.945152,42.893486,40.446789,5986838
